Date;LBUSTRUU INDEX
23/08/1991;466.27
26/08/1991;466.08
27/08/1991;466.63
28/08/1991;468.61
29/08/1991;469.89
30/08/1991;468.33
03/09/1991;468.99
04/09/1991;469.03
05/09/1991;468.8
06/09/1991;470.62
09/09/1991;470.58
10/09/1991;470.77
11/09/1991;470.86
12/09/1991;472.45
13/09/1991;472.55
16/09/1991;473.53
17/09/1991;473.76
18/09/1991;473.76
19/09/1991;473.95
20/09/1991;474.7
23/09/1991;475.31
24/09/1991;475.12
25/09/1991;474.98
26/09/1991;475.73
27/09/1991;477.18
30/09/1991;477.82
01/10/1991;478.31
02/10/1991;478.08
03/10/1991;478.36
04/10/1991;479.94
07/10/1991;479.46
08/10/1991;479.27
09/10/1991;477.55
10/10/1991;476.64
11/10/1991;478.98
15/10/1991;480.13
16/10/1991;480.32
17/10/1991;478.41
18/10/1991;479.08
21/10/1991;477.69
22/10/1991;476.88
23/10/1991;477.02
24/10/1991;478.51
25/10/1991;478.27
28/10/1991;479.41
29/10/1991;482.09
30/10/1991;482.71
31/10/1991;483.14
01/11/1991;483.09
05/11/1991;482.13
06/11/1991;482.95
07/11/1991;484.45
08/11/1991;484.69
12/11/1991;486.23
13/11/1991;485.17
14/11/1991;486.62
15/11/1991;486.86
18/11/1991;487.54
19/11/1991;487.39
20/11/1991;487.25
21/11/1991;487.05
22/11/1991;486.04
25/11/1991;485.75
26/11/1991;486.57
27/11/1991;486.67
29/11/1991;487.57
02/12/1991;488.85
03/12/1991;489.63
04/12/1991;491.54
05/12/1991;491.15
06/12/1991;491.54
09/12/1991;492.71
10/12/1991;492.9
11/12/1991;492.8
12/12/1991;493.39
13/12/1991;492.27
16/12/1991;493
17/12/1991;493.73
18/12/1991;493.44
19/12/1991;495.24
20/12/1991;495.24
23/12/1991;499.39
24/12/1991;499.39
26/12/1991;499.92
27/12/1991;500.02
30/12/1991;501.34
31/12/1991;502.05
02/01/1992;500.96
03/01/1992;500.21
06/01/1992;501.36
07/01/1992;502.97
08/01/1992;502.72
09/01/1992;502.22
10/01/1992;501.01
13/01/1992;499.91
14/01/1992;498.2
15/01/1992;497.9
16/01/1992;496.69
17/01/1992;497.25
21/01/1992;499.05
22/01/1992;498.25
23/01/1992;496.39
24/01/1992;495.59
27/01/1992;495.69
28/01/1992;497.2
29/01/1992;495.34
30/01/1992;494.69
31/01/1992;495.22
03/02/1992;494.4
04/02/1992;496.03
05/02/1992;497.22
06/02/1992;497.67
07/02/1992;497.91
10/02/1992;498.01
11/02/1992;497.77
12/02/1992;497.17
13/02/1992;494.64
14/02/1992;494.64
18/02/1992;493.95
19/02/1992;494.69
20/02/1992;495.19
21/02/1992;493.95
24/02/1992;493.56
25/02/1992;494.5
26/02/1992;496.72
27/02/1992;496.63
28/02/1992;498.44
02/03/1992;495.92
03/03/1992;495.37
04/03/1992;495.57
05/03/1992;494.02
06/03/1992;494.67
09/03/1992;496.22
10/03/1992;496.17
11/03/1992;494.62
12/03/1992;492.38
13/03/1992;490.83
16/03/1992;490.98
17/03/1992;492.23
18/03/1992;492.68
19/03/1992;493.63
20/03/1992;492.28
23/03/1992;492.73
24/03/1992;494.97
25/03/1992;495.42
26/03/1992;494.67
27/03/1992;495.37
30/03/1992;495.97
31/03/1992;495.63
01/04/1992;497.83
02/04/1992;497.59
03/04/1992;499.37
06/04/1992;499.92
07/04/1992;500.02
08/04/1992;499.52
09/04/1992;502.49
10/04/1992;501.9
13/04/1992;503.09
14/04/1992;502.84
15/04/1992;502.44
16/04/1992;500.86
